Id,CreationDate,PostId,RelatedPostId,LinkTypeId
34666,1284730252,2602,2516,1
34884,1284749021,1761,485,1
35150,1284769284,2245,534,1
36817,1284859695,2787,276,1
36818,1284859695,2787,166,1
36867,1284860060,1815,1352,1
36868,1284860060,1815,2770,1
38448,1284911837,2248,203,1
38449,1284911837,2248,10,1
38533,1284913797,195,411,1
38800,1284927294,2615,2572,1
39025,1284938391,2846,2597,1
41963,1285032149,2894,1807,1
42256,1285041709,2892,2860,1
42257,1285041709,2892,2572,1
45213,1285156627,2938,2918,1
46450,1285221653,485,414,1
46451,1285221653,485,1761,1
48587,1285329799,3061,3062,1
48709,1285337311,2828,1826,1
49737,1285445902,1001,411,1
51512,1285550866,3091,1995,1
51513,1285550866,3091,2628,1
54696,1285704873,3100,2966,1
56446,1285812033,3167,257,1
56522,1285815686,3156,2639,1
59018,1285887047,3201,1848,1
59019,1285887047,3201,2689,1
59020,1285887047,3201,1,1
59021,1285887047,3201,2563,1
60212,1285945990,3038,305,1
60213,1285945990,3038,726,1
60286,1285950165,3207,2917,1
60919,1286010136,534,36,1
62187,1286096304,3276,2957,1
63529,1286182983,3286,1001,1
64695,1286246806,3270,3287,1
65209,1286263667,3338,3286,1
65383,1286273328,1904,1906,1
65866,1286291377,2291,369,1
66354,1286344818,3359,2066,1
66575,1286355916,203,10,1
67211,1286386403,3238,2777,1
67212,1286386403,3238,3331,1
67552,1286411258,3244,2956,1
67842,1286422847,2910,2768,1
68036,1286432478,3369,1576,1
68037,1286432478,3369,2742,1
68038,1286432478,3369,612,1
68409,1286444542,3200,1016,1
68410,1286444542,3200,3252,1
68438,1286444930,3331,2777,1
68439,1286444930,3331,3238,1
68816,1286460449,3333,2483,1
69573,1286514265,3392,3244,1
69793,1286526356,3287,3270,1
70012,1286539914,3395,3199,1
70711,1286605263,346,3372,1
71072,1286622374,134,3372,1
71553,1286663270,138,75,1
72473,1286710609,2197,1385,1
74418,1286848150,3460,1980,1
74639,1286859785,3458,2306,1
74640,1286859785,3458,2410,1
74930,1286870737,1062,1045,1
76682,1286950845,3526,1133,1
78440,1287018032,1441,1430,1
79545,1287054579,3599,3561,1
80174,1287094577,3586,359,1
80535,1287116860,3549,3561,1
80633,1287124878,3589,328,1
80923,1287131665,3383,2067,1
81335,1287141343,3324,563,1
81650,1287147410,1610,22,1
82884,1287272782,3542,3158,1
83998,1287357471,3661,1015,1
83999,1287357471,3661,527,1
85270,1287406909,3685,2597,1
86097,1287441877,1224,499,1
86853,1287461732,973,7,1
86903,1287463191,3194,30,1
87342,1287471762,3713,3685,1
87463,1287473918,499,3200,1
87464,1287473918,499,3252,1
87465,1287473966,3101,685,1
88210,1287490293,3746,213,1
88211,1287490293,3746,2493,1
89036,1287530084,1015,3661,1
89037,1287530084,1015,3539,1
90125,1287561078,3752,3556,1
90394,1287567246,3762,1015,1
91229,1287583682,3810,539,1
91230,1287583682,3810,548,1
91231,1287583704,3704,3653,1
92603,1287637599,3463,3115,1
92604,1287637599,3463,1881,1
92726,1287641976,3556,3752,1
92801,1287644899,3845,3708,1
94250,1287705556,3822,3672,1
95316,1287734910,3069,1595,1
95485,1287738293,3814,3460,1
95486,1287738293,3814,499,1
95584,1287742138,3879,3842,1
96141,1287768901,1337,423,1
96168,1287772822,3818,206,1
97223,1287840045,3734,643,1
97538,1287868392,3911,1611,1
98127,1287906058,3926,575,1
98128,1287906058,3926,1266,1
98157,1287907053,3943,3730,1
98752,1287933348,3958,3,1
98753,1287933348,3958,73,1
98754,1287933348,3958,1676,1
100255,1288046440,2032,652,1
100497,1288055783,1576,612,1
100498,1288055783,1576,2742,1
100499,1288055783,1576,3369,1
101352,1288083138,3893,3252,1
101476,1288088976,3907,3611,1
101669,1288097821,3999,2691,1
101936,1288136864,4013,665,1
102009,1288142018,4009,1015,1
102058,1288144977,3989,4017,1
104677,1288533991,4093,222,1
106296,1288698808,4142,4146,1
106602,1288746597,4150,899,1
112612,1288872651,2576,2401,1
116088,1288934788,4172,859,1
122839,1289136232,4298,4220,1
122840,1289136232,4298,3316,1
123791,1289192639,4312,4175,1
124142,1289207243,4175,4312,1
126543,1289305161,4364,4354,1
126569,1289305210,4354,4364,1
131345,1289495110,4466,1980,1
131371,1289495162,1980,4466,1
132522,1289558144,4485,3207,1
132523,1289558144,4485,2917,1
134924,1289750687,4500,4530,1
136400,1289841881,4568,4539,1
136426,1289842057,4569,939,1
137577,1289930667,4606,4298,1
142554,1290142436,4708,2492,1
142955,1290164137,4734,1576,1
143731,1290208954,4753,4267,1
148507,1290521567,4839,3270,1
149433,1290557837,4854,4272,1
149909,1290583419,4877,138,1
151785,1290709714,4914,834,1
151811,1290710337,4914,577,1
151812,1290710942,4914,3392,1
153113,1290775210,4949,4942,1
153839,1290865999,118,354,1
154340,1290931835,4970,4766,1
156886,1291087575,5026,1521,1
156887,1291087575,5026,6,1
159238,1291257128,5078,1797,1
160039,1291325018,5097,5093,1
168040,1291602650,5181,5107,1
170516,1291640917,5191,5011,1
175642,1291776236,5249,5238,1
175668,1291776272,5238,5249,1
180594,1291892154,5306,3702,1
181695,1291949121,5333,5171,1
182821,1291984485,5359,1576,1
185122,1292115456,5382,1848,1
189248,1292266855,5450,5184,1
189774,1292299310,5465,4768,1
190875,1292333827,4991,2149,1
191901,1292401129,5517,152,1
193027,1292432878,5542,1,1
193228,1292441519,5542,5181,1
195354,1292522671,5560,3194,1
195380,1292534040,5572,3466,1
199681,1292803935,5591,1164,1
203933,1293016613,5700,2432,1
204934,1293094778,4172,527,1
206110,1293153735,5724,4334,1
208111,1293293603,5750,5747,1
208962,1293367891,5728,4830,1
213138,1293694098,5819,4220,1
214739,1293772624,4551,5808,1
217790,1294031607,5912,2234,1
218142,1294040389,5912,6,1
218418,1294052533,5918,2306,1
227119,1294294153,6033,5700,1
229245,1294334585,6050,5360,1
231296,1294390917,6066,6050,1
231322,1294392440,6063,4551,1
233298,1294457167,6081,2492,1
233299,1294457167,6081,2824,1
235025,1294505544,6093,421,1
240104,1294664133,6139,5750,1
240605,1294673025,6147,5504,1
242507,1294749586,6169,3921,1
246510,1294909011,6226,5686,1
246936,1294918493,6219,6039,1
247062,1294922325,6234,3158,1
247213,1294929239,6151,3006,1
248389,1294980666,6234,4211,1
248665,1294988872,6243,6096,1
255817,1295325738,6302,6268,1
255868,1295329526,6337,6127,1
256019,1295334502,6342,6337,1
258145,1295417006,6353,2619,1
258646,1295432492,6379,5171,1
259772,1295464280,6400,6308,1
260323,1295493279,6355,6314,1
261149,1295534195,6418,6358,1
261475,1295550017,6421,1883,1
262101,1295597137,6433,5347,1
263953,1295697355,6454,3652,1
265604,1295787737,6475,5617,1
266830,1295831661,6478,5443,1
267056,1295846605,6487,4030,1
268357,1295911028,6499,5782,1
269533,1295953429,6538,414,1
269759,1295957946,1875,2275,1
272210,1296056886,6599,5196,1
272286,1296071822,6601,155,1
272512,1296096415,6604,4517,1
273064,1296117684,2272,2182,1
273990,1296156091,6652,2356,1
274591,1296193330,2641,665,1
274592,1296193796,6664,5700,1
274968,1296223125,6670,168,1
276844,1296401145,2356,6493,1
277470,1296457369,6652,1525,1
277496,1296463289,6753,798,1
277572,1296464980,6753,5573,1
278798,1296596259,2356,2272,1
279749,1296674485,6814,1028,1
279950,1296694475,6807,6780,1
280001,1296698909,2742,6575,1
280202,1296718339,6840,6814,1
281653,1296795202,4350,2981,1
282204,1296804818,6883,6856,1
282255,1296805278,6867,5504,1
282331,1296811347,6876,6807,1
283507,1297007035,6943,3890,1
283783,1297034460,6950,6856,1
283784,1297034460,6950,1812,1
284385,1297073375,6966,1164,1
284411,1297074053,6967,6856,1
284887,1297103043,6976,1980,1
284963,1297109363,6978,6920,1
287515,1297313149,2492,7022,1
287591,1297321348,2492,2516,1
288492,1297370783,6225,3038,1
288619,1297381776,7074,6455,1
288670,1297386576,7084,7022,1
288671,1297386576,7084,2,1
288672,1297386576,7084,2492,1
290023,1297472413,7100,4239,1
290049,1297485945,7112,6478,1
290725,1297559480,7110,812,1
291076,1297595064,7152,1444,1
291077,1297596644,7155,213,1
291078,1297596644,7155,1444,1
291079,1297596876,7153,2770,1
291930,1297643340,7190,4023,1
291931,1297643547,7139,2245,1
292882,1297701533,7225,2121,1
294059,1297767027,7258,7209,1
295635,1297850513,7293,2615,1
295811,1297857890,7307,2547,1
295887,1297862303,7313,7115,1
295913,1297862361,7115,7313,1
296539,1297919995,1432,1412,1
297015,1297936483,7336,3532,1
297066,1297937922,7268,980,1
300143,1298211161,7426,7040,1
301369,1298267510,7450,6780,1
302320,1298314409,7476,2917,1
303321,1298361170,7505,4884,1
304047,1298398094,7476,7426,1
305448,1298478876,7528,7426,1
306149,1298522621,7546,5344,1
306175,1298524824,7521,6330,1
307227,1298602967,7610,3458,1
307478,1298622515,7613,2467,1
307729,1298645332,7638,3623,1
307880,1298656307,7637,3614,1
311781,1298703954,4383,4239,1
319107,1298733915,7668,6795,1
321258,1298749128,6907,7630,1
321259,1298749429,7630,6907,1
327210,1298786962,7675,3874,1
346836,1298921496,7732,7727,1
358039,1299123230,7742,4978,1
358590,1299142891,7829,6763,1
359916,1299195837,7865,7319,1
360117,1299210361,7813,256,1
360293,1299225166,7845,798,1
360294,1299225519,7845,4810,1
360495,1299236814,5733,7515,1
362647,1299333727,7912,7630,1
362648,1299333727,7912,6907,1
362974,1299374950,7923,203,1
362975,1299376597,7919,4612,1
365051,1299484855,7815,2516,1
365052,1299484899,2516,7815,1
365053,1299485124,7959,346,1
367429,1299569674,8021,7977,1
367530,1299573111,8025,1773,1
368081,1299587303,8033,5504,1
368157,1299589700,8029,5913,1
369233,1299644093,8071,3730,1
369759,1299661741,8063,3730,1
370960,1299724771,8103,7258,1
372637,1299810569,8147,5347,1
373613,1299840629,8168,2910,1
373864,1299849918,8159,5026,1
374090,1299859479,8185,7975,1
374316,1299879705,8180,2469,1
374517,1299893247,8196,8192,1
375168,1299927695,8185,7376,1
375344,1299933776,8196,7853,1
375745,1299968696,7853,8196,1
376121,1299989729,8225,138,1
376522,1300001127,8239,8232,1
376548,1300001187,8232,8239,1
376574,1300002093,8239,1761,1
377100,1300028275,8246,5534,1
377726,1300073752,8237,5135,1
379403,1300139071,8299,2828,1
379829,1300154129,8300,5750,1
380555,1300172841,8321,4099,1
380581,1300174719,8321,8237,1
381257,1300198357,8328,6364,1
381633,1300218738,7996,8340,1
382734,1300262488,8340,7996,1
382860,1300263444,8358,8187,1
383486,1300287297,8377,652,1
383512,1300292578,8377,170,1
383688,1300301764,8157,8021,1
383814,1300305918,8335,8358,1
385890,1300378174,8380,7772,1
386716,1300419408,8347,8419,1
387743,1300465389,8470,8419,1
387994,1300480695,8446,7542,1
388020,1300481303,8470,4220,1
388521,1300509475,8483,3386,1
389222,1300553260,8455,2906,1
389723,1300589572,8511,3559,1
390274,1300627551,8524,5171,1
390575,1300658188,8557,8513,1
390576,1300664910,8559,8236,1
392452,1300745914,8581,485,1
392478,1300749057,8586,841,1
392479,1300750599,8604,3400,1
392505,1300750788,8566,7813,1
392656,1300756626,8614,7238,1
392758,1300763917,8617,8358,1
393811,1300808092,8634,7630,1
393812,1300808092,8634,6907,1
394663,1300850878,8661,4832,1
398667,1301036247,8769,3947,1
398918,1301046123,8777,1708,1
399319,1301072866,8784,8718,1
400020,1301126516,8799,8797,1
400796,1301163119,8791,6498,1
401072,1301188140,7430,8104,1
401073,1301188140,7430,8477,1
404049,1301297833,8877,8846,1
404050,1301297833,8877,3634,1
410701,1301377125,8891,6195,1
419927,1301452878,8956,10,1
419928,1301452878,8956,8071,1
419929,1301452878,8956,3730,1
421655,1301465377,8960,8662,1
426956,1301497202,8972,1399,1
427407,1301500182,8987,8899,1
432659,1301553359,9009,1444,1
432660,1301553359,9009,298,1
434586,1301569424,6498,8955,1
435137,1301573866,8036,7467,1
435688,1301580076,9020,7419,1
435914,1301582860,9022,4364,1
437015,1301598261,9027,8502,1
442842,1301647974,9050,2086,1
443668,1301657384,9050,8370,1
447319,1301710817,9074,8370,1
447320,1301710817,9074,7419,1
447396,1301711274,9074,6890,1
448922,1301733838,9062,8774,1
450198,1301765561,5690,6601,1
457826,1301980274,9192,5918,1
458678,1301997641,9213,8742,1
458679,1301997730,9215,1521,1
461880,1302072080,9201,6127,1
462431,1302089110,9278,5092,1
462632,1302094479,9280,9131,1
465408,1302167549,9292,8570,1
465910,1302184307,9327,486,1
466386,1302201929,9333,8586,1
470738,1302330461,9381,9208,1
470789,1302333885,9383,8025,1
471390,1302362771,9377,9396,1
472091,1302399646,2715,8844,1
472617,1302419254,9311,4,1
472618,1302419351,4,9311,1
474519,1302505191,9435,9040,1
474520,1302505474,9427,4220,1
476146,1302552994,9454,203,1
476672,1302565734,9464,4756,1
476698,1302567667,9467,9341,1
476724,1302567747,9341,9467,1
476875,1302574516,9449,6309,1
477351,1302593039,9475,3331,1
477352,1302593039,9475,2777,1
477353,1302593039,9475,3238,1
477629,1302600625,9478,8285,1
477630,1302600783,9478,1112,1
477681,1302604657,6309,9464,1
480132,1302686914,9510,5347,1
481283,1302731896,9544,9341,1
481659,1302749713,9536,7,1
482486,1302778348,8007,7531,1
482862,1302802574,9501,7200,1
483263,1302822168,9573,2492,1
483264,1302823416,9573,1386,1
483790,1302851639,9587,9508,1
487966,1303090113,9667,6275,1
488717,1303116978,9691,9629,1
489093,1303125809,9691,1133,1
489144,1303126161,9691,9685,1
491671,1303209978,9759,5344,1
491722,1303214402,9759,8689,1
493123,1303281307,9775,6005,1
494824,1303336678,9795,9398,1
495825,1303374664,9835,9809,1
496076,1303383181,9841,9797,1
496802,1303411895,9852,8918,1
498103,1303448282,9842,8000,1
498679,1303474555,9871,9590,1
500980,1303601416,9920,4009,1
502881,1303707448,9852,1149,1
505207,1303789750,9987,9573,1
505208,1303789750,9987,7155,1
505334,1303798296,9972,9358,1
506310,1303834590,10013,4030,1
506311,1303834590,10013,6487,1
508012,1303900642,10049,9398,1
508413,1303905509,10055,10005,1
508739,1303912084,10005,10055,1
510390,1303951160,10078,9068,1
511866,1303974533,10088,2597,1
513417,1303989177,10088,9016,1
513418,1303989177,10088,3685,1
513419,1303989177,10088,3713,1
514720,1304001155,10086,30,1
514746,1304001246,10086,40,1
514772,1304001781,10117,242,1
518398,1304029453,10137,10079,1
522676,1304083062,10155,9330,1
526352,1304121708,10162,8000,1
526353,1304121708,10162,9842,1
527254,1304127673,10169,9685,1
533130,1304213305,10191,5617,1
535831,1304251545,10213,8485,1
539957,1304295242,10230,2597,1
542008,1304315401,10238,10030,1
542934,1304323315,10180,9735,1
546285,1304399898,9735,2356,1
547886,1304426419,10121,2746,1
548137,1304432547,10295,9885,1
548163,1304433312,10289,9137,1
548164,1304433355,10289,9358,1
549065,1304493326,10316,3628,1
549066,1304493326,10316,8106,1
549067,1304493326,10316,6740,1
550493,1304546388,10337,5782,1
550794,1304554262,10343,3931,1
551145,1304561000,10347,6890,1
551421,1304571300,10355,7902,1
553347,1304638435,10377,2910,1
554848,1304673472,10425,8807,1
556099,1304702995,10450,10121,1
556850,1304747968,10463,8130,1
565551,1305001259,10539,7959,1
568302,1305018445,8738,10604,1
568303,1305018565,10604,8738,1
568529,1305019754,10608,3458,1
569905,1305030223,10619,10594,1
570006,1305031805,9299,277,1
571982,1305047729,10631,10363,1
573833,1305088187,73,1676,1
576234,1305125338,10669,7815,1
577160,1305148558,10687,534,1
581836,1305242603,10727,5782,1
582488,1305261803,7815,10363,1
589789,1305522749,10838,8243,1
590190,1305528384,10856,6304,1
594018,1305666400,10926,5206,1
594369,1305675935,10928,10613,1
596723,1305772993,10964,2230,1
596974,1305781242,10953,6127,1
597275,1305789154,10964,10789,1
597776,1305796346,10981,9220,1
598127,1305808042,10977,5081,1
598853,1305830838,2230,10964,1
599604,1305855525,11019,10387,1
599830,1305870386,11033,2335,1
600456,1305891255,11049,213,1
600832,1305902023,11000,6731,1
602058,1305962899,11009,10510,1
603834,1306045305,11079,11113,1
605210,1306087144,11141,11123,1
605411,1306098221,11145,534,1
605412,1306098221,11145,3400,1
606663,1306153162,11165,8662,1
607589,1306195088,11178,8661,1
608391,1306225015,11186,2432,1
608842,1306245458,11210,9664,1
610218,1306302271,11232,6350,1
610219,1306302271,11232,1637,1
610220,1306302271,11232,6127,1
610221,1306302271,11232,10953,1
610322,1306310578,11220,173,1
611398,1306358231,11259,11256,1
612274,1306384684,11270,8300,1
614200,1306465236,206,539,1
616126,1306562067,11328,11079,1
616127,1306562067,11328,11113,1
621328,1306675031,11351,11315,1
626704,1306748017,11277,4445,1
629780,1306761480,11375,11009,1
631306,1306773807,11381,4713,1
636657,1306847206,11411,3115,1
636758,1306850627,11412,11381,1
637384,1306860429,11413,8738,1
638585,1306886399,11418,9739,1
640787,1306915039,11433,11420,1
641013,1306917727,11436,6314,1
641039,1306917844,6314,11436,1
643290,1306955582,11458,10947,1
646416,1307000812,11370,11448,1
648842,1307049742,11459,3466,1
650193,1307081318,11500,9358,1
652144,1307132586,11543,2547,1
655545,1307229833,11582,11548,1
656121,1307246428,11590,3559,1
656747,1307256296,11595,11182,1
658798,1307284900,11609,6652,1
662224,1307357541,9693,2379,1
663025,1307387865,11650,11102,1
664051,1307419892,11662,10347,1
665177,1307449256,11659,7467,1
665328,1307457067,11687,6481,1
665929,1307479297,11680,577,1
666405,1307496386,11691,9671,1
666506,1307498412,11703,11182,1
667132,1307508970,11703,11595,1
667208,1307509371,11713,11628,1
668259,1307520828,11722,10407,1
668535,1307530671,11609,22,1
670586,1307575920,11746,8071,1
670587,1307575920,11746,3730,1
670988,1307583059,11749,11414,1
675664,1307662062,11769,22,1
684491,1307795139,11833,2691,1
684492,1307795372,11836,3650,1
687118,1307867168,11609,2356,1
694594,1308029495,11899,5502,1
694595,1308029495,11899,11372,1
694771,1308032337,11899,3006,1
694972,1308038832,11628,11713,1
695098,1308043079,11359,11436,1
700150,1308150330,11959,1576,1
701351,1308187512,11960,11717,1
701377,1308187943,11971,9605,1
703428,1308232793,11980,11887,1
703954,1308254200,12021,1562,1
704805,1308280399,12028,73,1
704806,1308280443,12029,11892,1
704857,1308280523,11892,12029,1
705158,1308287715,12026,8000,1
706634,1308330535,12053,11887,1
707560,1308370301,12067,11887,1
708412,1308399389,12080,4454,1
708563,1308402968,12054,9131,1
710264,1308464867,11450,8696,1
712115,1308524767,12118,11887,1
716366,1308644315,10236,10356,1
719792,1308743694,12231,12151,1
719868,1308745396,12225,2492,1
721969,1308811590,12262,11351,1
721995,1308812052,12283,5542,1
721996,1308812052,12283,1,1
722172,1308816726,12258,10981,1
725023,1308904017,12305,12164,1
725399,1308913356,12321,11609,1
725575,1308919188,7351,2272,1
728451,1309041896,12353,10251,1
729577,1309081838,12365,11812,1
732555,1309169967,12410,9131,1
733306,1309178422,12421,4689,1
734057,1309213041,12425,6599,1
734058,1309213041,12425,10387,1
734134,1309214806,12415,3539,1
737610,1309282362,12180,12134,1
738436,1309301736,12461,31,1
738437,1309301736,12461,9557,1
739413,1309313865,12466,7211,1
740189,1309322963,12469,7527,1
743665,1309374975,12498,1207,1
744591,1309389535,12495,9342,1
748943,1309441778,12512,12521,1
749044,1309443825,12521,1622,1
751270,1309480834,10540,1475,1
753046,1309507244,12549,10975,1
758823,1309611712,12582,12498,1
761924,1309676910,12590,9535,1
762500,1309686949,12597,3589,1
765701,1309746639,12612,5347,1
766227,1309752633,12611,2948,1
769130,1309791125,12643,575,1
769881,1309806368,12641,577,1
773132,1309865497,12665,6309,1
776033,1309923216,12700,2476,1
776084,1309923852,12702,9947,1
777610,1309940125,12710,8358,1
777636,1309940330,12710,11917,1
777637,1309940330,12710,8187,1
780588,1309990471,12753,9503,1
782214,1310017899,12763,213,1
784515,1310065635,12790,12587,1
784516,1310065635,12790,12453,1
784542,1310065683,12587,12453,1
789768,1310176663,12816,11149,1
790469,1310202665,12768,12814,1
791495,1310221578,5604,12748,1
791996,1310222144,12854,10079,1
793322,1310270873,12826,12864,1
797424,1310337584,12881,12495,1
798625,1310353959,12885,12712,1
799851,1310371403,12884,9807,1
800177,1310375677,12900,6181,1
800478,1310377008,12902,12222,1
801379,1310386774,12913,11650,1
802055,1310395468,12913,4211,1
809807,1310525816,12958,12410,1
811258,1310550538,12993,11209,1
811784,1310558347,7185,12993,1
811785,1310558347,7185,11209,1
813236,1310586771,13015,13011,1
813962,1310600830,13023,7853,1
814563,1310610708,13023,13022,1
814764,1310614777,12962,12955,1
817115,1310658418,12140,4356,1
818916,1310702822,13089,3967,1
819067,1310705706,13091,12993,1
820368,1310726664,13112,12797,1
824369,1310830074,13142,13056,1
829471,1310945570,13159,2002,1
830647,1310970545,13194,3947,1
831348,1310979596,13204,11368,1
831399,1310980722,13204,5747,1
831850,1310992175,13206,6358,1
832576,1311002454,13220,12960,1
832578,1311003354,12960,13220,1
833679,1311030314,13196,13166,1
834080,1311039668,13199,4884,1
834156,1311042778,13241,11209,1
834932,1311057261,13215,12797,1
834933,1311057261,13215,13112,1
835184,1311059439,9016,1475,1
835510,1311064111,13252,13206,1
836661,1311082564,13275,4220,1
836687,1311083222,13260,170,1
838113,1311136513,11797,13296,1
838164,1311137953,13131,1475,1
838840,1311151847,13301,12262,1
838891,1311153476,13301,11315,1
838892,1311153476,13301,11351,1
839118,1311160350,13300,2245,1
839119,1311160350,13300,534,1
839496,1311166055,13314,13266,1
840747,1311203998,13326,1047,1
841648,1311223663,13335,10608,1
842149,1311235979,13342,13054,1
842150,1311236283,13335,10387,1
844701,1311313672,13371,13314,1
846402,1311340260,13389,322,1
851503,1311532095,13442,2777,1
853105,1311576883,13456,726,1
853531,1311583844,13470,13352,1
853782,1311588342,13474,13259,1
854208,1311595389,13475,13433,1
854535,1311601761,13471,13446,1
858386,1311695436,13528,13306,1
858887,1311714794,13496,3640,1
860738,1311745426,13550,2691,1
860839,1311748478,13550,13152,1
861015,1311754626,13556,13259,1
861691,1311763317,13532,9898,1
865867,1311850276,13586,11018,1
868393,1311895972,13612,8485,1
868394,1311895972,13612,414,1
869320,1311905908,13620,13550,1
871421,1311927990,13623,3,1
875122,1311998936,13638,13636,1
876123,1312021501,13650,3294,1
876249,1312023581,13655,2272,1
881401,1312112358,13655,6652,1
881402,1312112358,13655,3911,1
881403,1312112358,13655,11609,1
881404,1312112358,13655,2356,1
882255,1312127158,13686,4551,1
882306,1312127847,13687,631,1
887683,1312192234,13211,13721,1
887684,1312192580,13721,13211,1
888660,1312202657,13729,10517,1
891561,1312259716,13747,12888,1
896288,1312330150,13757,10,1
896964,1312338152,13797,12461,1
898090,1312355021,13690,7200,1
898091,1312355021,13690,9501,1
898417,1312358821,13810,5750,1
900068,1312383129,13784,13166,1
900319,1312386538,13805,10382,1
900445,1312388848,13805,13757,1
901346,1312408160,13833,13757,1
901347,1312408160,13833,13805,1
904848,1312455602,13867,9801,1
905274,1312460444,13869,7357,1
905325,1312460528,13543,13518,1
906101,1312478679,13853,13757,1
906102,1312478679,13853,13805,1
906103,1312478679,13853,13833,1
906579,1312495627,13873,12495,1
912335,1312596569,13935,11516,1
912736,1312607554,13936,13902,1
913562,1312624489,13939,12137,1
920192,1312772629,13981,1444,1
921168,1312784398,3689,9429,1
921169,1312784969,13989,13636,1
921370,1312790679,13983,2492,1
925372,1312867739,13984,12873,1
925398,1312868258,14034,10001,1
927999,1312911524,14067,4551,1
931550,1312969760,14095,726,1
932201,1312979471,14108,7048,1
935202,1313024145,14078,14088,1
935403,1313025793,14140,7402,1
935529,1313028491,14078,575,1
935805,1313031014,14147,9477,1
936181,1313038028,14088,14078,1
938432,1313064610,14168,14158,1
941983,1313133913,14177,423,1
942159,1313136393,14187,12484,1
942560,1313142624,13784,14088,1
946861,1313232911,14226,1805,1
950037,1313304414,14219,10001,1
954388,1313388038,14280,2275,1
955289,1313409573,14301,3194,1
957290,1313446888,14270,7869,1
959366,1313482301,14351,14237,1
963142,1313546237,14392,2894,1
966719,1313595033,14434,4834,1
967395,1313612444,14437,14351,1
968496,1313632486,14444,2356,1
969297,1313644344,14457,14269,1
971098,1313670622,1321,14351,1
972349,1313702834,14500,3549,1
974601,1313749773,14516,11602,1
982881,1313927123,14585,13314,1
982882,1313927123,14585,2245,1
982933,1313928284,14595,124,1
984209,1313950255,13497,8662,1
985510,1313976882,14620,14480,1
986361,1313988768,14634,3559,1
986612,1313993582,14402,14634,1
986763,1313998531,14588,1385,1
988489,1314030706,14664,14449,1
989865,1314061301,14686,14643,1
992292,1314106731,14616,14546,1
992293,1314106808,14719,14721,1
994944,1314161981,14752,9859,1
995295,1314164580,14752,7308,1
995996,1314177224,14762,14355,1
997097,1314199160,14781,14691,1
999748,1314255544,14571,6,1
1000474,1314269793,14812,8505,1
1000750,1314275002,14819,2410,1
1001626,1314293098,14830,6225,1
1008428,1314465866,14872,14842,1
1011279,1314527383,14856,14219,1
1015005,1314594643,14928,8237,1
1015006,1314594643,14928,3549,1
1015132,1314598451,14910,14898,1
1015358,1314600780,14889,14916,1
1016459,1314616850,14947,14088,1
1018935,1314675118,14966,14500,1
1025486,1314763194,15011,13382,1
1026462,1314776856,15021,13902,1
1028013,1314795180,575,14088,1
1030789,1314835203,15052,9735,1
1030815,1314836043,15052,22,1
1030816,1314836043,15052,6652,1
1030817,1314836043,15052,2272,1
1033743,1314874742,15076,124,1
1036469,1314924159,15102,14088,1
1036995,1314929534,15100,14072,1
1037471,1314938933,13739,13548,1
1037547,1314942282,15021,8019,1
1037623,1314944013,15113,15021,1
1043524,1315033461,15154,15076,1
1044750,1315054810,15164,13977,1
1049477,1315137118,8447,15160,1
