Id,PostTypeId,CreationDate,Score,ViewCount,OwnerUserId,AnswerCount,CommentCount,FavoriteCount,LastEditorUserId
54,1,1279539679,11,497,55,5,5,2,919
55,2,1279539699,7,0,56,0,0,0,56
56,2,1279539748,56,0,0,0,7,0,0
57,2,1279539754,2,0,69,0,4,0,69
58,1,1279539777,10,1667,68,3,0,1,3911
59,2,1279539800,24,0,39,0,1,0,805
60,2,1279539800,1,0,41,0,1,0,0
61,2,1279539875,22,0,74,0,5,0,74
62,1,1279539898,4,124,58,2,0,0,58
63,2,1279539919,25,0,87,0,2,0,0
64,2,1279539968,6,0,5,0,0,0,5
65,2,1279539971,14,0,8,0,3,0,8
66,2,1279539971,5,0,41,0,0,0,0
67,2,1279540036,2,0,36,0,0,0,0
69,2,1279540069,3,0,56,0,0,0,0
70,2,1279540125,15,0,22,0,1,0,22
71,2,1279540233,2,0,36,0,0,0,0
72,2,1279540265,6,0,96,0,0,0,0
73,1,1279540292,24,5717,22,24,5,26,88
74,2,1279540294,25,0,88,0,0,0,0
75,1,1279540351,5,754,69,5,4,7,0
76,2,1279540369,22,0,5,0,3,0,0
77,2,1279540443,16,0,74,0,7,0,74
78,2,1279540478,33,0,8,0,4,0,8
79,2,1279540564,4,0,25,0,1,0,0
80,2,1279540603,8,0,93,0,2,0,0
81,2,1279540736,7,0,69,0,0,0,0
83,2,1279540971,2,0,5,0,0,0,0
84,2,1279541014,6,0,41,0,0,0,0
85,2,1279541280,15,0,87,0,2,0,87
86,2,1279541317,8,0,13,0,5,0,13
89,2,1279541507,5,0,55,0,0,0,0
90,2,1279541544,3,0,22,0,0,0,0
91,2,1279541754,10,0,87,0,0,0,87
93,1,1279541827,5,412,61,1,3,3,88
94,2,1279541904,5,0,88,0,0,0,0
95,1,1279542095,5,446,57,2,0,2,154
96,2,1279542164,4,0,5,0,0,0,0
97,1,1279542202,35,14608,114,8,1,14,88
98,2,1279542237,10,0,39,0,0,0,39
99,2,1279542308,7,0,88,0,1,0,0
100,1,1279542623,4,3918,117,2,0,1,0
101,2,1279542728,40,0,0,0,6,0,0
102,2,1279542734,1,0,22,0,0,0,22
103,1,1279542806,28,1990,5,16,6,37,88
104,2,1279542886,16,0,74,0,0,0,0
105,2,1279542934,19,0,46,0,1,0,615
107,2,1279542961,11,0,46,0,0,0,615
108,2,1279543007,14,0,5,0,1,0,615
109,1,1279543041,2,3980,25,1,2,1,0
110,2,1279543236,3,0,61,0,2,0,0
111,2,1279543284,8,0,8,0,3,0,0
112,2,1279543947,2,0,12,0,0,0,615
113,1,1279544063,9,413,39,1,5,6,39
114,1,1279544453,30,1220,8,13,1,22,32036
115,2,1279544495,1,0,127,0,0,0,615
116,2,1279544656,12,0,72,0,4,0,0
117,2,1279544664,25,0,36,0,1,0,36
118,1,1279544679,122,39118,83,19,11,69,88
119,2,1279545104,6,0,88,0,3,0,88
120,2,1279545247,39,0,41,0,4,0,0
121,2,1279545265,71,0,61,0,6,0,0
123,2,1279545320,13,0,130,0,0,0,0
124,1,1279545450,23,1131,131,7,0,22,88
125,1,1279545492,75,29261,5,26,2,78,88
126,2,1279545583,26,0,5,0,4,0,0
127,2,1279545800,18,0,61,0,2,0,0
128,1,1279545837,3,12626,132,1,0,4,88
129,2,1279545898,4,0,8,0,0,0,8
130,1,1279545987,30,7111,90,3,10,12,88
131,2,1279546121,23,0,5,0,0,0,5
132,2,1279546177,6,0,22,0,0,0,0
133,2,1279546313,0,0,139,0,2,0,0
134,1,1279546358,10,4572,138,8,6,7,8
135,2,1279546572,7,0,39,0,3,0,39
137,2,1279546689,15,0,74,0,2,0,74
138,1,1279546690,67,14326,142,21,4,111,142
139,2,1279546757,21,0,5,0,2,0,0
140,2,1279546775,7,0,88,0,0,0,0
141,2,1279546802,2,0,142,0,0,0,615
142,2,1279546977,5,0,8,0,0,0,0
143,2,1279547308,5,0,88,0,2,0,0
144,2,1279547332,17,0,22,0,0,0,22
145,1,1279547416,4,2287,138,5,4,2,442
146,1,1279547571,12,4419,144,6,3,6,919
147,2,1279547582,4,0,142,0,0,0,0
148,2,1279547931,4,0,130,0,0,0,0
149,2,1279548130,8,0,74,0,0,0,74
150,2,1279548809,3,0,25,0,1,0,0
151,2,1279549872,60,0,81,0,4,0,81
152,1,1279550258,9,1008,0,2,2,1,919
153,2,1279550367,6,0,145,0,1,0,0
154,2,1279550447,20,0,108,0,3,0,108
155,1,1279550630,27,3293,154,10,2,17,8489
156,1,1279551013,2,233,148,1,0,1,10515
157,2,1279551142,7,0,36,0,3,0,0
159,2,1279551630,8,0,145,0,0,0,0
160,2,1279552003,1,0,158,0,0,0,615
161,1,1279552296,9,2304,154,2,0,2,159
162,2,1279552412,14,0,74,0,4,0,74
163,2,1279552673,5,0,81,0,6,0,81
164,2,1279552784,2,0,158,0,0,0,0
165,1,1279552865,56,22890,74,8,3,47,2910
166,1,1279552895,10,12304,154,3,0,5,442
167,2,1279553191,10,0,159,0,4,0,0
168,1,1279553204,17,1022,8,2,1,6,8
169,2,1279553256,2,0,159,0,0,0,0
170,1,1279553394,56,7733,8,19,1,75,69
171,2,1279553550,8,0,159,0,0,0,0
172,2,1279553658,10,0,74,0,1,0,74
173,1,1279553842,15,2519,71,9,0,11,71
174,2,1279553863,35,0,159,0,0,0,159
175,1,1279553989,29,28291,13,8,1,24,159
176,2,1279554001,18,0,81,0,2,0,81
177,2,1279554344,22,0,159,0,2,0,159
178,2,1279554530,9,0,74,0,0,0,74
179,2,1279555169,12,0,159,0,0,0,0
180,2,1279555580,4,0,90,0,0,0,0
181,1,1279556102,50,39097,159,4,0,44,28988
182,2,1279556147,16,0,74,0,0,0,74
183,1,1279556451,3,753,166,4,1,0,0
184,2,1279556518,6,0,159,0,0,0,0
185,2,1279557000,10,0,80,0,2,0,0
187,2,1279558065,3,0,119,0,0,0,0
188,2,1279558333,21,0,61,0,4,0,0
189,2,1279558774,4,0,173,0,2,0,0
190,2,1279559258,7,0,25,0,0,0,0
191,2,1279559837,3,0,173,0,0,0,0
192,1,1279559891,3,1597,1356,4,1,4,930
193,2,1279561512,6,0,0,0,0,0,7290
194,1,1279561656,6,838,175,3,2,3,0
195,1,1279562465,5,506,173,3,0,3,0
196,1,1279563444,19,4090,87,6,2,12,9007
197,2,1279563878,9,0,5,0,1,0,5
198,2,1279564363,3,0,61,0,0,0,183
199,2,1279564373,4,0,5,0,0,0,0
200,2,1279565325,13,0,174,0,3,0,174
201,2,1279566696,8,0,183,0,0,0,0
202,2,1279566802,11,0,183,0,0,0,183
203,1,1279567905,16,6033,183,5,2,2,930
204,2,1279568158,7,0,183,0,2,0,183
205,1,1279569084,12,543,187,2,0,2,159
206,1,1279569234,13,70255,188,8,1,4,183
207,2,1279569614,48,0,0,0,0,0,0
208,2,1279570031,4,0,74,0,1,0,0
209,2,1279570612,19,0,174,0,4,0,174
210,2,1279570752,9,0,183,0,3,0,183
211,2,1279572547,6,0,187,0,0,0,0
212,1,1279572860,3,430,190,3,0,0,190
213,1,1279573353,51,9772,159,13,3,42,159
214,2,1279573362,4,0,40,0,0,0,0
215,2,1279573392,1,0,187,0,2,0,0
216,1,1279573480,9,483,191,3,0,7,0
217,2,1279573808,6,0,5,0,4,0,5
218,2,1279574001,2,0,187,0,0,0,0
219,2,1279574474,3,0,154,0,3,0,154
220,1,1279574584,14,9481,85,3,2,6,3911
221,2,1279575348,15,0,159,0,2,0,159
222,1,1279575466,26,36801,191,7,1,22,88
223,1,1279576455,5,291,79,3,5,5,4872
224,1,1279577039,8,1418,128,10,3,13,183
225,1,1279577257,7,617,196,4,2,0,196
226,2,1279578201,12,0,173,0,2,0,0
227,2,1279578272,2,0,144,0,1,0,159
228,2,1279578436,2,0,10,0,0,0,0
229,2,1279578527,10,0,159,0,2,0,4856
230,2,1279578921,5,0,173,0,0,0,0
231,2,1279579273,4,0,199,0,2,0,0
232,2,1279579285,12,0,103,0,2,0,103
234,2,1279579634,5,0,198,0,1,0,0
235,2,1279581478,4,0,13,0,0,0,13
236,2,1279582234,0,0,138,0,0,0,138
237,2,1279582268,1,0,199,0,0,0,8
238,2,1279582389,8,0,138,0,0,0,0
240,2,1279583730,4,0,114,0,1,0,0
241,2,1279583766,5,0,196,0,1,0,0
242,1,1279583776,12,470,199,2,5,3,5
243,2,1279584304,7,0,196,0,0,0,196
244,2,1279584811,17,0,13,0,4,0,13
245,2,1279585236,0,0,196,0,0,0,0
246,2,1279585732,6,0,198,0,0,0,0
247,2,1279586196,2,0,171,0,1,0,0
248,2,1279586318,4,0,211,0,0,0,0
249,1,1279586953,4,454,213,1,1,0,17230
250,2,1279587195,5,0,171,0,5,0,171
252,2,1279588409,5,0,81,0,3,0,81
253,2,1279589165,7,0,215,0,0,0,215
254,2,1279589418,4,0,8,0,3,0,8
255,2,1279589451,8,0,88,0,1,0,0
256,1,1279589662,14,1422,217,3,0,7,7290
257,1,1279589924,14,6700,217,7,1,9,159
258,1,1279590203,14,780,217,10,0,10,88
259,2,1279590251,12,0,217,0,5,0,0
260,2,1279590306,12,0,217,0,1,0,0
261,2,1279590318,12,0,159,0,4,0,0
262,2,1279590645,13,0,8,0,7,0,8
263,2,1279590791,8,0,190,0,6,0,190
264,2,1279591140,5,0,217,0,0,0,0
265,2,1279591548,14,0,88,0,0,0,88
266,2,1279592636,3,0,128,0,0,0,0
267,1,1279593355,7,4254,194,2,1,1,0
268,2,1279594866,3,0,107,0,1,0,0
269,1,1279595262,11,53644,62,4,0,5,88
270,1,1279595327,12,1291,90,5,0,4,8
271,2,1279595442,7,0,8,0,0,0,805
272,2,1279595681,2,0,216,0,0,0,0
273,2,1279595881,1,0,216,0,0,0,0
274,2,1279596119,10,0,90,0,3,0,0
275,2,1279596593,5,0,88,0,0,0,88
276,1,1279597405,8,1517,90,4,0,0,0
277,1,1279597742,12,3033,215,2,0,4,88
278,1,1279597767,6,120,221,3,1,1,88
279,2,1279598055,9,0,62,0,0,0,0
280,2,1279598090,4,0,221,0,0,0,0
281,2,1279598396,2,0,215,0,0,0,919
282,2,1279598546,23,0,81,0,3,0,29367
283,1,1279598948,22,13685,215,5,0,6,0
284,2,1279599930,1,0,215,0,1,0,0
285,2,1279599999,1,0,183,0,1,0,0
286,2,1279600112,12,0,211,0,0,0,0
287,1,1279600157,7,1068,90,1,1,3,5739
288,1,1279600174,5,1093,220,3,0,1,0
289,2,1279600361,4,0,80,0,0,0,0
290,1,1279600410,6,811,189,7,1,2,919
291,2,1279600543,7,0,211,0,0,0,0
292,2,1279600718,2,0,56,0,0,0,0
293,2,1279600982,4,0,211,0,1,0,0
294,2,1279601259,25,0,211,0,0,0,0
295,2,1279601575,8,0,62,0,0,0,0
296,2,1279601668,10,0,127,0,0,0,0
297,2,1279602522,5,0,56,0,0,0,0
298,1,1279602710,55,67592,125,6,4,55,919
299,2,1279602989,8,0,5,0,0,0,5
300,2,1279603171,4,0,56,0,0,0,0
301,2,1279603360,6,0,8,0,7,0,0
302,2,1279605852,1,0,196,0,2,0,0
303,2,1279606122,2,0,0,0,2,0,9007
304,2,1279606430,0,0,196,0,3,0,0
305,1,1279606781,27,2939,196,6,0,16,159
306,2,1279606897,8,0,5,0,2,0,0
307,2,1279607010,13,0,229,0,3,0,0
308,2,1279607887,1,0,22,0,0,0,0
309,2,1279608032,2,0,88,0,1,0,0
310,2,1279608093,1,0,0,0,5,0,0
311,2,1279608451,7,0,89,0,1,0,0
312,1,1279609420,4,118,0,1,0,0,0
313,2,1279609815,3,0,226,0,2,0,226
314,2,1279609834,11,0,5,0,1,0,0
315,2,1279610157,5,0,36,0,0,0,0
316,2,1279610438,7,0,36,0,1,0,36
317,2,1279610461,18,0,56,0,0,0,0
318,2,1279610633,4,0,0,0,0,0,0
319,2,1279611222,15,0,71,0,2,0,0
320,2,1279612024,14,0,61,0,0,0,0
321,1,1279612885,10,1950,220,1,4,4,220
322,1,1279613020,11,1449,3807,6,0,6,0
323,2,1279613416,22,0,3807,0,2,0,0
324,2,1279613528,9,0,3807,0,0,0,0
326,2,1279613583,12,0,3807,0,1,0,0
327,2,1279613991,1,0,3807,0,0,0,0
328,1,1279614428,5,2388,75,9,3,15,88
329,2,1279614686,11,0,5,0,0,0,5
331,2,1279615422,5,0,61,0,1,0,0
333,2,1279617441,3,0,74,0,3,0,74
337,2,1279617641,1,0,88,0,4,0,88
338,2,1279617721,7,0,89,0,2,0,8
339,2,1279618309,1,0,218,0,6,0,0
340,2,1279618860,5,0,74,0,0,0,0
341,1,1279620749,2,435,88,2,0,0,190
342,2,1279620824,3,0,139,0,0,0,0
343,2,1279620977,3,0,88,0,0,0,0
344,2,1279621045,3,0,88,0,2,0,0
345,2,1279624130,1,0,247,0,0,0,0
346,1,1279624876,26,4873,247,10,2,9,8
347,2,1279626657,2,0,15,0,0,0,0
348,2,1279626853,-4,0,24,0,2,0,24
349,2,1279627173,8,0,54,0,5,0,54
350,2,1279627946,1,0,178,0,0,0,0
351,2,1279631135,4,0,16,0,0,0,0
352,2,1279631925,1,0,8,0,1,0,8
353,2,1279635114,11,0,61,0,1,0,0
354,1,1279635986,8,676,3807,4,0,4,930
355,2,1279636062,1,0,158,0,0,0,0
356,2,1279636305,2,0,8,0,0,0,0
357,2,1279638468,5,0,3807,0,5,0,3807
358,2,1279639265,6,0,88,0,4,0,88
359,1,1279639729,9,425,90,2,1,4,0
360,2,1279641393,4,0,88,0,2,0,0
361,2,1279642149,13,0,170,0,1,0,0
362,1,1279643075,14,25597,196,2,0,7,805
363,1,1279644248,52,5188,74,19,2,65,0
365,2,1279645448,4,0,226,0,0,0,0
366,2,1279646580,1,0,226,0,0,0,0
367,2,1279647313,17,0,90,0,1,0,0
368,2,1279652460,2,0,0,0,2,0,0
369,1,1279655237,6,485,191,4,0,6,88
370,2,1279655335,27,0,159,0,2,0,0
371,2,1279657140,15,0,34,0,2,0,0
372,1,1279657567,2,754,252,2,5,5,509
373,1,1279657850,24,1439,252,12,2,12,22468
374,1,1279657962,6,273,252,1,0,1,88
375,1,1279658085,7,437,252,0,1,0,190
376,2,1279658930,9,0,61,0,0,0,0
377,2,1279662343,7,0,173,0,0,0,0
378,2,1279662865,11,0,68,0,0,0,0
379,2,1279663783,5,0,190,0,0,0,190
380,2,1279664136,3,0,88,0,0,0,0
381,2,1279664571,6,0,223,0,0,0,0
382,2,1279664903,3,0,190,0,0,0,0
383,2,1279664923,3,0,251,0,0,0,0
384,2,1279665216,1,0,190,0,0,0,0
385,2,1279665578,4,0,190,0,1,0,0
386,2,1279665971,10,0,223,0,5,0,223
387,2,1279667066,36,0,69,0,0,0,0
388,2,1279667754,4,0,251,0,1,0,0
389,2,1279669894,12,0,199,0,0,0,0
390,2,1279670514,4,0,74,0,3,0,74
392,2,1279671576,5,0,251,0,0,0,0
393,2,1279674131,26,0,223,0,2,0,439
394,2,1279677220,0,0,210,0,0,0,17230
395,1,1279678405,4,174,210,2,1,1,556
396,1,1279681244,31,2694,0,15,0,20,9007
397,2,1279681907,5,0,8,0,0,0,8
398,2,1279682215,14,0,5,0,1,0,0
399,2,1279682336,22,0,190,0,3,0,0
400,2,1279682445,10,0,210,0,3,0,3874
401,2,1279686141,2,0,256,0,0,0,5505
402,2,1279686643,3,0,226,0,2,0,0
403,2,1279686823,1,0,256,0,0,0,0
404,2,1279687051,6,0,46,0,1,0,0
405,2,1279687131,1,0,190,0,1,0,0
406,2,1279687380,11,0,256,0,0,0,0
407,2,1279688340,1,0,256,0,0,0,0
408,2,1279688499,8,0,56,0,0,0,0
409,1,1279689093,2,232,219,2,0,0,219
410,2,1279689653,2,0,56,0,2,0,0
411,1,1279690746,31,3293,89,6,8,9,29617
412,2,1279690802,4,0,8,0,0,0,0
413,2,1279691295,5,0,223,0,0,0,0
414,1,1279691408,20,5291,89,6,0,19,509
415,2,1279691593,4,0,223,0,1,0,0
416,2,1279692003,14,0,215,0,1,0,0
417,2,1279692106,6,0,251,0,0,0,0
418,1,1279693842,13,1382,77,3,1,5,88
419,2,1279694611,4,0,215,0,0,0,0
420,2,1279695306,8,0,89,0,1,0,0
421,1,1279695681,52,11458,219,28,4,56,2669
422,2,1279696151,0,0,247,0,1,0,0
423,1,1279696401,156,64481,5,56,7,135,509
424,2,1279696893,109,0,88,0,3,0,0
425,2,1279697033,88,0,13,0,0,0,13
427,2,1279697591,14,0,215,0,0,0,0
428,2,1279697745,3,0,210,0,2,0,0
429,2,1279697794,14,0,39,0,5,0,0
430,2,1279697837,14,0,251,0,2,0,251
431,2,1279697891,7,0,215,0,0,0,159
432,2,1279697926,96,0,8,0,1,0,0
433,2,1279698224,40,0,5,0,0,0,0
434,2,1279698643,24,0,215,0,4,0,0
435,2,1279698839,84,0,88,0,1,0,0
436,2,1279699458,14,0,215,0,0,0,509
437,2,1279699640,2,0,215,0,1,0,0
438,2,1279701763,10,0,215,0,1,0,0
439,2,1279702235,8,0,30,0,1,0,30
440,2,1279702415,13,0,36,0,0,0,0
441,2,1279702478,5,0,36,0,0,0,0
442,2,1279702605,7,0,36,0,0,0,0
443,2,1279703192,7,0,215,0,0,0,9007
445,2,1279703613,2,0,215,0,2,0,0
446,2,1279703865,7,0,215,0,0,0,9007
447,2,1279704374,5,0,215,0,0,0,0
448,2,1279704375,6,0,77,0,0,0,0
449,2,1279704537,1,0,215,0,0,0,0
450,2,1279704602,6,0,88,0,3,0,0
451,2,1279705088,5,0,215,0,1,0,24560
452,1,1279705501,9,9951,215,5,4,2,8
453,2,1279706045,8,0,74,0,0,0,0
454,2,1279707119,1,0,62,0,0,0,0
455,2,1279707493,27,0,13,0,1,0,3807
456,2,1279707962,6,0,39,0,0,0,39
457,2,1279708107,4,0,0,0,3,0,0
458,2,1279708872,2,0,226,0,0,0,0
459,1,1279713588,7,367,259,4,0,0,805
460,2,1279713820,6,0,61,0,2,0,0
461,2,1279714052,2,0,71,0,3,0,0
462,2,1279714262,8,0,88,0,0,0,0
463,2,1279715352,5,0,90,0,0,0,0
464,2,1279715683,3,0,88,0,4,0,0
465,2,1279716308,2,0,90,0,0,0,0
466,2,1279716834,5,0,115,0,0,0,0
467,2,1279717443,5,0,115,0,0,0,0
468,2,1279721104,4,0,251,0,0,0,0
469,2,1279721599,4,0,251,0,0,0,0
470,2,1279722938,32,0,36,0,6,0,218
471,2,1279724278,14,0,168,0,1,0,159
472,2,1279724434,6,0,61,0,0,0,0
473,2,1279737438,2,0,260,0,0,0,0
474,2,1279740078,5,0,260,0,0,0,0
475,2,1279742148,3,0,253,0,0,0,0
476,2,1279744472,7,0,251,0,0,0,0
477,2,1279745930,1,0,251,0,0,0,0
478,2,1279746797,12,0,251,0,4,0,13280
479,2,1279754922,9,0,128,0,4,0,0
480,1,1279760316,14,1711,223,2,0,4,217
481,1,1279761447,7,885,199,3,0,1,0
482,2,1279761892,5,0,190,0,0,0,0
483,2,1279763632,14,0,88,0,2,0,2798
485,1,1279764490,48,4470,183,19,3,57,183
486,1,1279764675,17,23985,266,4,4,4,449
487,2,1279764928,9,0,266,0,1,0,0
488,2,1279764978,10,0,183,0,1,0,30807
489,2,1279767955,3,0,214,0,0,0,0
490,1,1279768229,16,2262,223,6,2,12,486
491,2,1279768750,2,0,268,0,0,0,0
492,1,1279769476,10,534,210,6,3,2,919
493,2,1279769627,3,0,268,0,0,0,0
494,2,1279770162,6,0,88,0,2,0,88
495,2,1279770222,6,0,214,0,1,0,0
496,2,1279770253,6,0,190,0,0,0,0
497,2,1279770831,3,0,190,0,4,0,0
498,1,1279771101,2,2137,62,5,11,0,0
499,1,1279771588,17,478,267,5,0,3,267
500,2,1279772189,2,0,190,0,1,0,0
501,2,1279772240,3,0,88,0,7,0,223
502,2,1279772742,5,0,0,0,0,0,0
503,2,1279772748,2,0,256,0,1,0,0
504,2,1279773229,4,0,5,0,0,0,0
505,2,1279773733,5,0,88,0,0,0,0
506,2,1279775457,13,0,215,0,1,0,0
507,1,1279777230,12,3303,215,4,1,4,0
508,2,1279777313,1,0,266,0,0,0,0
509,2,1279777398,2,0,0,0,0,0,0
510,2,1279777777,35,0,266,0,0,0,0
511,2,1279780340,26,0,3807,0,0,0,0
512,2,1279781574,8,0,33,0,2,0,0
513,2,1279783340,2,0,260,0,0,0,0
514,2,1279784213,2,0,266,0,0,0,0
515,2,1279784994,8,0,270,0,1,0,17230
516,2,1279785644,3,0,251,0,0,0,0
517,1,1279786866,13,1760,68,3,2,4,68
518,2,1279787050,3,0,88,0,1,0,0
519,2,1279787577,4,0,270,0,2,0,0
520,2,1279787623,2,0,190,0,5,0,0
521,2,1279787945,7,0,190,0,0,0,0
522,2,1279793023,12,0,39,0,1,0,39
523,2,1279793768,4,0,74,0,2,0,74
524,1,1279794354,8,284,0,3,0,5,0
525,2,1279794827,9,0,247,0,0,0,0
526,1,1279797461,7,466,88,2,0,1,0
527,1,1279804552,6,2504,114,6,2,2,930
528,2,1279809217,2,0,3807,0,1,0,0
529,2,1279809485,1,0,0,0,4,0,0
530,2,1279813944,8,0,159,0,0,0,0
531,2,1279814688,4,0,159,0,0,0,0
532,2,1279820662,12,0,159,0,5,0,0
533,2,1279820936,7,0,251,0,1,0,0
534,1,1279821362,44,11149,159,14,6,26,159
535,2,1279821612,2,0,251,0,0,0,251
537,2,1279824159,11,0,0,0,0,0,0
538,2,1279831781,23,0,260,0,5,0,556
539,1,1279837030,34,9369,174,8,2,15,0
540,2,1279837076,9,0,183,0,0,0,0
541,2,1279837324,14,0,159,0,3,0,0
542,2,1279838978,7,0,183,0,0,0,0
543,2,1279840383,5,0,183,0,0,0,0
544,2,1279841251,13,0,183,0,0,0,183
545,2,1279844123,1,0,273,0,0,0,0
546,2,1279844332,29,0,183,0,5,0,509
547,2,1279845184,8,0,88,0,0,0,0
548,1,1279853512,5,571,266,1,0,0,190
549,2,1279862935,3,0,270,0,1,0,0
550,2,1279864687,11,0,5,0,0,0,5
551,2,1279867394,36,0,215,0,4,0,919
552,2,1279868030,10,0,215,0,0,0,0
553,2,1279868560,6,0,215,0,0,0,215
554,2,1279868942,10,0,215,0,0,0,0
555,1,1279869476,46,6287,0,5,3,23,7290
556,2,1279869514,-1,0,215,0,1,0,0
557,2,1279870555,33,0,215,0,4,0,30872
558,1,1279872933,11,339,39,4,0,3,0
559,2,1279873841,5,0,88,0,0,0,0
560,2,1279874210,9,0,5,0,2,0,0
561,2,1279874987,12,0,215,0,0,0,0
562,1,1279875071,10,1005,5,5,1,14,9007
563,1,1279875200,8,1855,215,3,5,4,8
564,1,1279875470,5,1498,215,1,2,0,8
565,2,1279875748,2,0,88,0,1,0,0
566,2,1279875952,7,0,190,0,6,0,0
567,2,1279876295,11,0,92,0,1,0,92
568,2,1279877390,2,0,92,0,1,0,0
569,2,1279877564,3,0,5,0,0,0,0
570,1,1279879167,12,753,251,4,2,6,251
571,2,1279880981,6,0,217,0,1,0,0
572,2,1279881725,14,0,251,0,0,0,251
573,1,1279885545,10,1043,190,2,3,2,930
574,2,1279886871,0,0,88,0,2,0,0
575,1,1279887245,14,6570,196,5,3,17,17230
576,2,1279888963,3,0,36,0,0,0,0
577,1,1279889352,79,22354,196,10,2,68,196
578,2,1279891132,2,0,196,0,1,0,0
579,2,1279891398,6,0,88,0,11,0,17230
581,1,1279894356,4,3982,99,2,2,2,88
582,2,1279899500,4,0,108,0,1,0,108
583,2,1279901226,37,0,39,0,2,0,39
584,2,1279903483,0,0,240,0,0,0,0
585,2,1279903575,4,0,240,0,1,0,0
586,2,1279906888,3,0,251,0,0,0,0
587,2,1279915138,31,0,159,0,6,0,0
588,2,1279916521,6,0,61,0,4,0,61
589,2,1279918493,6,0,61,0,0,0,0
590,1,1279933754,2,242,190,1,3,0,190
591,2,1279935181,2,0,200,0,0,0,0
592,2,1279936372,3,0,57,0,2,0,509
593,2,1279944548,3,0,5,0,1,0,0
594,1,1279970759,12,273,240,1,1,6,0
595,2,1279971804,7,0,223,0,5,0,223
596,1,1279972248,0,247,240,2,7,0,240
597,2,1279972530,2,0,240,0,0,0,0
598,2,1279973720,5,0,22,0,2,0,0
599,2,1279974186,9,0,61,0,0,0,805
600,2,1279974973,8,0,30,0,2,0,0
602,1,1279981780,3,247,88,2,2,2,0
603,2,1279983253,3,0,30,0,5,0,0
604,1,1279984145,7,480,165,2,6,2,183
605,2,1279985148,1,0,88,0,1,0,0
606,2,1279996626,11,0,30,0,0,0,0
607,2,1279999781,70,0,30,0,1,0,22047
608,1,1280005700,19,1244,196,1,9,9,196
609,2,1280013524,6,0,223,0,2,0,223
610,2,1280020439,9,0,159,0,0,0,0
611,2,1280032583,4,0,223,0,2,0,223
612,1,1280039491,12,3981,144,4,4,9,196
613,2,1280039605,9,0,30,0,4,0,0
614,1,1280040830,22,2267,107,11,6,18,107
615,2,1280040992,2,0,88,0,3,0,0
616,2,1280042713,6,0,5,0,0,0,5
617,2,1280043179,9,0,5,0,1,0,0
618,2,1280052126,15,0,54,0,6,0,54
619,2,1280059715,4,0,240,0,1,0,0
620,2,1280066656,3,0,253,0,0,0,0
621,2,1280073403,3,0,88,0,0,0,0
622,1,1280106741,15,3833,159,2,0,9,0
623,2,1280108808,3,0,87,0,0,0,0
624,1,1280116391,3,239,59,1,0,2,930
