Id,Reputation,CreationDate,Views,UpVotes,DownVotes
434,111,1280192751,7,54,0
435,101,1280192948,1,0,0
436,101,1280193840,0,0,0
438,2133,1280194685,272,28,1
439,2031,1280195234,268,152,1
440,101,1280195645,0,0,0
441,101,1280195816,0,0,0
442,6431,1280196097,973,857,21
443,11,1280199296,1,0,0
444,101,1280200096,0,0,0
445,152,1280200448,10,32,0
446,118,1280201288,8,12,0
447,1422,1280201480,173,20,0
449,12813,1280203834,1089,1607,57
452,111,1280206149,1,3,0
453,131,1280206199,1,0,0
455,378,1280206407,24,26,0
456,101,1280206609,1,0,0
457,101,1280206686,0,0,0
458,101,1280206710,0,0,0
460,148,1280207367,5,4,0
461,101,1280207725,2,13,0
462,101,1280207855,0,0,0
463,141,1280209171,11,11,0
465,101,1280209442,1,0,0
467,101,1280210640,3,3,0
468,141,1280212477,1,2,0
469,101,1280213511,0,1,0
472,101,1280214060,0,0,0
474,22,1280214491,12,0,0
475,101,1280214826,1,0,0
476,208,1280215189,7,0,1
478,300,1280215263,29,13,0
480,113,1280215772,4,0,0
481,31,1280216270,4,0,0
482,61,1280216388,9,0,0
483,101,1280216398,1,0,0
485,2908,1280216722,265,444,11
486,101,1280217881,0,46,0
488,109,1280218801,7,2,0
490,1,1280219159,1,0,0
491,46,1280220767,3,0,0
492,1,1280221830,6,0,0
493,909,1280222101,96,87,4
494,11,1280222157,9,0,0
495,2092,1280222559,272,32,4
498,19,1280223984,1,0,0
500,104,1280224877,2,0,0
501,300,1280225546,20,9,0
503,108,1280228991,8,1,0
504,101,1280229081,3,1,0
506,223,1280231336,29,14,0
509,139,1280233634,90,24,2
510,101,1280235679,1,0,0
511,1796,1280235833,516,33,4
512,101,1280236142,1,0,0
513,16,1280239234,5,0,0
516,157,1280241970,11,3,0
517,101,1280241979,0,0,0
520,268,1280245992,42,9,0
521,2133,1280249807,205,65,0
522,101,1280250240,1,0,0
523,326,1280250976,32,10,0
524,101,1280251975,1,0,0
526,1,1280256289,1,0,0
527,125,1280260231,6,61,0
528,148,1280261732,22,1,0
529,118,1280262944,40,61,0
530,599,1280267731,77,2,0
531,19,1280269054,7,0,0
536,101,1280273452,1,0,0
539,279,1280280652,31,14,0
541,141,1280281522,9,0,0
542,101,1280282866,1,0,0
543,101,1280288340,0,0,0
546,138,1280292143,11,1,0
547,101,1280292697,10,0,0
549,286,1280297634,39,5,0
553,101,1280299855,4,0,0
555,101,1280301220,2,0,0
556,113,1280301817,22,33,0
557,1273,1280303699,142,58,0
558,101,1280306347,1,0,0
559,485,1280307675,44,9,0
560,104,1280310766,6,0,0
561,2002,1280311671,186,155,11
562,173,1280311797,21,6,0
563,101,1280314330,0,0,0
564,101,1280316163,0,0,0
565,125,1280316551,32,22,0
566,11,1280318881,37,17,0
569,307,1280324527,46,43,0
572,161,1280328992,19,2,0
573,365,1280332560,40,260,0
575,101,1280335427,3,0,0
577,101,1280339670,0,0,0
578,65,1280341264,14,7,0
582,2400,1280356698,293,692,23
583,101,1280362413,0,0,0
586,101,1280368034,0,1,0
588,1034,1280370985,185,38,0
589,58,1280373291,11,4,0
590,101,1280375222,1,0,0
591,101,1280376958,1,0,0
593,108,1280378698,0,3,0
594,101,1280378953,1,0,0
595,146,1280380778,25,57,0
596,101,1280380827,2,0,0
597,232,1280382949,12,178,2
600,165,1280384068,4,33,0
601,13478,1280384952,1286,283,17
603,10647,1280389089,1225,683,49
605,108,1280395820,3,4,0
606,101,1280397331,0,0,0
608,138,1280400330,18,4,0
609,691,1280400437,113,44,1
612,1,1280407911,1,0,0
613,101,1280408865,0,0,0
614,305,1280411498,34,7,0
615,379,1280419073,51,163,49
616,26,1280421617,6,0,0
617,101,1280439379,0,9,0
618,101,1280451023,2,0,0
621,101,1280473253,1,22,0
624,121,1280483453,6,0,0
626,101,1280495767,3,0,0
629,133,1280518963,9,0,0
631,101,1280546576,1,0,0
632,202,1280561340,38,69,0
633,101,1280563466,2,0,0
634,426,1280568776,47,8,0
635,146,1280573007,3,1,0
636,1,1280575525,0,0,0
637,118,1280577185,6,25,0
638,241,1280583239,13,2,0
640,101,1280625077,1,0,0
641,1,1280631718,0,0,0
642,23,1280634609,0,0,0
643,251,1280639964,31,13,0
644,28,1280655366,16,2,0
646,111,1280661393,5,26,1
647,141,1280673050,19,14,0
648,101,1280687497,0,0,0
650,230,1280712470,42,45,0
652,158,1280729500,6,0,0
653,1,1280732492,4,0,0
656,2320,1280737078,203,1273,7
660,286,1280739959,37,16,3
665,58,1280752021,3,5,0
666,1855,1280752272,105,71,0
667,406,1280752569,56,11,0
668,101,1280753637,12,2,0
669,101,1280756416,1,0,0
671,101,1280758463,4,9,0
672,111,1280760837,8,1,0
676,101,1280784508,9,0,0
677,101,1280788851,0,2,0
679,336,1280804148,15,0,0
681,101,1280810525,0,4,0
682,101,1280821597,1,0,0
683,101,1280822387,1,0,0
684,186,1280835057,16,8,0
685,1,1280835566,0,0,0
686,44152,1280835760,7357,2156,82
687,26,1280836223,0,0,0
689,101,1280838092,0,0,0
690,121,1280840983,7,5,0
691,1,1280843915,1,0,0
692,101,1280845587,0,0,0
696,2282,1280859041,182,136,18
697,176,1280862373,18,57,2
698,113,1280870842,2,2,0
700,101,1280876506,0,0,0
701,101,1280877296,0,0,0
702,424,1280877534,37,34,2
703,101,1280878253,0,0,0
704,577,1280878580,64,51,0
705,121,1280880070,1,3,0
706,101,1280883004,0,0,0
707,101,1280883044,57,10,0
708,101,1280883452,0,1,0
710,101,1280885076,0,0,0
711,101,1280886455,0,0,0
713,6,1280890255,3,0,0
714,101,1280890339,0,0,0
715,101,1280890593,0,0,0
716,1,1280890976,4,0,0
717,101,1280891072,0,0,0
718,101,1280891178,1,0,0
719,101,1280892534,0,0,0
720,101,1280892777,0,0,0
721,121,1280895914,3,7,0
722,113,1280896278,1,1,0
723,101,1280897836,0,0,0
724,101,1280898282,1,0,0
725,101,1280901804,0,0,0
726,185,1280902323,9,24,0
727,101,1280902475,1,0,0
728,101,1280903651,0,0,0
729,136,1280904419,10,1,0
732,151,1280905855,9,1,0
733,101,1280906211,2,0,0
734,101,1280908313,8,1,0
735,101,1280908976,0,4,0
736,101,1280909188,1,0,0
737,93,1280911896,3,1,0
738,131,1280911916,8,6,0
739,106,1280912198,9,2,0
740,305,1280912393,92,41,2
741,262,1280916253,20,6,0
742,101,1280916571,0,0,0
743,235,1280917309,13,26,0
744,101,1280921050,1,0,0
745,101,1280922274,1,0,0
746,101,1280923879,0,2,0
747,143,1280926136,4,3,0
748,101,1280926788,0,0,0
749,292,1280926850,35,6,0
751,101,1280930085,0,0,0
753,101,1280939019,34,3,0
754,101,1280941716,0,0,0
755,101,1280945033,0,0,0
760,168,1280973794,13,13,0
762,48,1280980764,7,1,0
764,101,1280984727,0,1,0
765,86,1280986466,11,0,0
767,66,1280992969,9,1,0
768,101,1280993812,7,1,0
770,139,1281000485,13,61,0
771,101,1281001420,1,0,0
772,101,1281002107,1,0,0
774,101,1281006853,0,1,0
775,436,1281007458,24,5,0
776,1895,1281008444,312,225,1
777,101,1281008485,0,0,0
778,311,1281011674,36,49,0
779,103,1281014487,0,1,1
780,101,1281016000,0,1,0
781,566,1281025765,78,9,1
782,141,1281032555,0,5,0
785,101,1281041231,1,0,0
786,101,1281049385,1,0,0
787,111,1281049713,3,2,0
789,151,1281051789,11,2,0
791,123,1281074163,8,20,0
793,101,1281075745,0,0,0
795,5606,1281092034,967,1547,8
797,101,1281099747,1,0,0
798,101,1281104353,0,1,0
799,103,1281123652,7,0,0
800,244,1281131975,18,15,0
801,111,1281134255,6,3,0
802,101,1281134419,2,0,0
803,118,1281135109,13,0,0
805,65272,1281141607,5680,7035,143
806,111,1281152510,3,0,0
807,123,1281155885,5,14,0
808,101,1281157256,8,27,0
809,116,1281158715,6,0,0
812,628,1281165622,98,215,2
813,101,1281168853,0,2,0
814,101,1281176831,0,0,0
816,101,1281195603,0,0,0
819,101,1281219818,0,0,0
821,101,1281250338,1,0,0
822,101,1281255086,0,0,0
823,101,1281262175,1,0,0
825,138,1281281284,7,1,0
826,101,1281284666,0,0,0
827,262,1281286223,22,6,0
828,101,1281316983,0,0,0
829,101,1281317049,0,0,0
830,830,1281320107,174,148,0
831,101,1281323699,1,0,0
833,21,1281347911,0,0,0
834,136,1281348981,45,8,0
835,176,1281355222,12,36,0
836,101,1281355740,2,0,0
838,101,1281356927,0,6,0
839,101,1281361717,1,0,0
840,259,1281363282,63,19,1
842,101,1281369316,5,24,0
844,101,1281373624,1,0,0
845,597,1281379298,46,22,0
846,101,1281385897,3,0,0
847,591,1281385985,67,15,0
850,193,1281390022,9,10,0
851,1075,1281393612,77,11,1
852,21,1281399564,7,0,0
855,101,1281440790,2,0,0
856,51,1281444489,1,0,0
857,101,1281448808,6,0,0
858,2834,1281450516,434,333,24
861,130,1281470674,12,2,0
862,531,1281474870,90,2,0
865,101,1281482980,1,0,0
866,1,1281494958,3,0,0
867,11,1281499320,1,0,0
869,131,1281504283,3,1,0
870,257,1281504558,13,7,0
871,101,1281506840,2,3,0
872,128,1281508292,5,5,0
873,451,1281510151,27,0,0
876,123,1281523064,8,4,0
877,101,1281525443,8,1,0
878,101,1281525691,4,0,0
879,101,1281531629,0,2,0
880,88,1281532335,7,0,0
881,1118,1281532358,62,6,2
882,101,1280144725,6,5,0
884,101,1281542155,3,0,0
887,18187,1281570305,1660,230,4
888,315,1281571719,21,8,0
890,155,1281579664,66,23,0
891,101,1281583717,14,0,0
892,2772,1281587395,207,167,2
894,101,1281599313,0,0,0
899,101,1281614777,0,0,0
900,1054,1281617333,87,221,0
901,101,1281622515,2,11,0
902,101,1281624891,0,0,0
903,128,1281625290,14,4,0
906,101,1281632718,2,0,0
909,171,1281636526,4,3,0
911,101,1281645916,0,0,0
912,101,1281659115,0,0,0
913,262,1281660361,27,3,0
914,159,1281665631,16,7,0
919,87393,1281684587,20932,11273,779
923,101,1281693017,1,0,0
926,101,1281694830,0,0,0
927,21,1281694855,1,0,0
928,101,1281695660,0,0,0
929,101,1281701388,0,0,0
930,31170,1281703847,5529,10523,214
931,101,1281709313,1,0,0
932,101,1281709825,0,0,0
933,118,1281713186,0,7,0
934,101,1281715560,0,0,0
935,101,1281718146,0,0,0
937,115,1281729351,1,2,0
938,171,1281738079,15,7,0
939,131,1281746552,0,0,0
940,101,1281760664,1,0,0
941,101,1281768908,0,0,0
942,151,1281779506,4,0,0
944,126,1281785842,6,2,0
945,123,1281786990,9,19,0
948,101,1281806776,0,1,0
952,14,1281851200,2,0,0
954,101,1281857909,2,0,0
955,101,1281858453,0,0,0
956,218,1281861210,14,47,1
957,135,1281864337,35,1,0
959,326,1281886828,19,1,0
960,101,1281905522,0,0,0
961,620,1281910583,73,86,3
962,43,1281929602,13,1,0
963,101,1281931106,0,0,0
966,1290,1281943148,137,244,0
968,108,1281951262,3,10,0
970,101,1281953835,1,0,0
971,101,1281956449,0,0,0
972,150,1281958318,9,5,1
973,101,1281967032,3,3,0
976,239,1281997886,20,63,0
977,423,1282007055,65,13,0
978,101,1282009796,0,1,0
979,261,1282017704,31,12,0
980,101,1282030373,1,0,0
981,101,1282036229,1,0,0
982,101,1282038560,2,2,0
983,101,1282041797,0,0,0
985,101,1282070541,15,2,0
986,148,1282090416,8,3,0
988,168,1282109303,61,31,0
989,101,1282112307,2,0,0
990,147,1282113699,46,11,0
991,143,1282120924,5,1,0
993,28,1282148840,1,3,0
994,323,1282150707,65,9,1
995,196,1282155825,10,4,0
996,364,1282164118,68,10,0
997,198,1282164352,25,0,0
998,101,1282170394,0,0,0
1000,101,1282180984,2,1,0
1001,111,1282188148,2,2,0
1004,136,1282201280,6,2,0
1005,3679,1282203069,870,325,0
1007,444,1282205160,264,8,0
1010,101,1282210296,1,0,0
1011,191,1282217758,9,0,0
1013,96,1282222330,18,0,0
1014,101,1282223089,0,0,0
1015,101,1282224000,1,0,0
1016,111,1282232571,1,8,0
1017,101,1282236707,2,13,0
1019,119,1282253053,6,10,0
1021,167,1282285603,4,29,0
1024,58,1282295139,12,0,0
1025,136,1282300238,4,0,0
1026,167,1282302163,10,8,0
1027,156,1282304190,2,4,0
1028,360,1282307852,45,30,2
1029,28,1282311743,2,0,0
1030,101,1282335822,2,0,0
1032,101,1282377714,4,2,0
1033,130,1282397258,8,0,1
1034,26,1282402130,4,0,0
1035,106,1282402638,6,2,0
1036,8236,1282407751,1305,11442,43
1040,101,1282421229,2,0,0
1041,101,1282421244,0,0,0
1043,55,1282457221,37,2,0
1047,31,1282470644,0,2,0
1048,468,1282476137,135,28,0
1049,106,1282477519,6,0,0
1050,478,1282479673,53,39,2
1053,101,1282493334,0,0,0
1054,131,1282494673,5,0,0
1056,21,1282522609,2,0,0
1059,101,1282538511,0,7,0
1063,101,1282551278,0,0,0
1064,101,1282551603,0,1,0
1065,111,1282551670,7,6,0
1066,101,1282554620,10,0,0
1068,31,1282559173,4,0,0
1069,101,1282559373,0,0,0
1072,126,1282576393,6,0,0
1073,101,1282576933,3,0,0
1074,101,1282589073,1,2,0
1075,213,1282610415,28,26,1
1076,101,1282634877,4,18,0
1077,444,1282637731,222,50,0
1079,192,1282647891,33,8,0
1080,1597,1282682194,188,81,1
1082,106,1282709977,11,5,0
1083,101,1282713195,0,1,0
1084,276,1282716669,45,42,1
1085,101,1282724796,2,0,0
1087,101,1282735606,1,0,0
1088,38,1282740521,4,6,0
1090,93,1282746885,16,0,0
1091,39,1282779810,10,1,0
1092,101,1282784491,1,0,0
1094,23,1282785848,5,0,0
1098,305,1282814355,48,69,0
1099,1,1282815589,0,0,0
1100,101,1282822113,1,0,0
1101,101,1282829045,5,4,0
1102,329,1282834025,55,15,0
1103,101,1282838324,1,1,0
1104,100,1282862518,0,10,1
1105,296,1282874331,7,1,0
1106,2410,1282907849,140,202,2
1107,506,1282912323,87,35,1
1108,3555,1282933606,386,347,1
1109,101,1282936963,0,0,0
1110,101,1283003334,1,0,0
1112,326,1283018210,36,24,0
1113,101,1283029138,1,0,0
1114,121,1283063524,9,1,0
1115,101,1283080610,0,0,0
1117,195,1283093457,9,6,0
1118,935,1283114618,278,88,2
1119,678,1283146606,28,10,0
1120,113,1283168247,5,1,0
1121,130,1283182587,10,6,0
1122,1544,1283185954,196,0,0
1123,101,1283204200,0,0,0
1124,3000,1283220447,456,140,7
1125,101,1283224972,0,0,0
1126,299,1283226206,30,9,2
1127,148,1283239129,25,0,0
1130,101,1283267705,1,0,0
1131,101,1283269729,0,0,0
1133,3,1283305595,2,0,0
1134,93,1283306318,31,1,0
1135,116,1283313935,4,0,0
1136,101,1283320351,1,0,0
1137,173,1283322135,4,0,0
1138,169,1283330296,5,15,0
1141,148,1283346078,11,2,0
1142,100,1283346433,48,1,1
1144,246,1283359387,95,30,0
1146,1086,1283363088,189,73,6
1147,101,1283377410,1,2,0
1148,66,1283382422,82,4,0
1149,101,1283388178,0,1,0
1150,585,1283393935,56,25,0
1151,101,1283394025,6,1,0
1152,101,1283402106,1,0,0
1153,1,1283405501,1,0,0
1154,386,1283406118,137,252,3
1156,101,1283432437,0,0,0
1157,138,1283433966,39,10,0
1158,33,1283435724,5,1,0
1160,101,1283441821,0,0,0
1161,101,1283442092,0,0,0
1162,101,1283442132,1,0,0
1163,301,1283442151,43,2,0
1164,101,1283442779,3,2,0
1166,101,1283442940,4,1,0
1167,16,1283445088,5,0,0
1169,101,1283446067,1,0,0
1170,101,1283450005,0,1,0
1173,101,1283452116,1,0,0
1178,101,1283468424,0,0,0
1179,101,1283474205,1,1,0
1180,101,1283476840,0,1,0
1181,101,1283484819,0,0,0
1182,101,1283485516,2,2,0
1183,101,1283485783,0,0,0
1185,16,1283486770,10,0,0
1186,101,1283487841,0,0,0
1187,101,1283490401,2,0,0
1189,78,1283493671,5,3,0
1190,101,1283501753,6,2,0
1191,2768,1283504430,93,260,1
1192,101,1283547044,0,2,0
1194,103,1283552364,0,2,0
1195,442,1283562481,34,13,0
1197,108,1283628170,13,0,0
1200,101,1283672857,1,0,0
1201,111,1283701964,10,1,0
1202,101,1283706320,1,0,0
1204,151,1283755518,3,0,0
1205,212,1283759986,34,11,0
1208,148,1283881550,6,2,0
1210,158,1283889155,26,5,1
1211,101,1283897259,0,0,0
1212,187,1283911089,28,23,0
1215,339,1283916792,40,18,0
1216,175,1283917765,22,0,0
1219,353,1283923888,54,13,2
1220,68,1283924661,7,17,0
1224,437,1283936897,39,5,0
1225,111,1283939258,3,2,0
1226,101,1283944938,1,0,0
1227,170,1283946470,13,1,0
1229,526,1283961294,34,11,0
1234,101,1283995753,0,0,0
1238,101,1284053215,0,0,0
1239,101,1284055108,0,0,0
1242,101,1284095792,1,0,0
1244,101,1284099481,0,0,0
1246,101,1284139714,7,1,0
1247,158,1284144168,8,7,0
1248,173,1284181955,25,2,0
1249,101,1284198364,0,0,0
1250,559,1284203026,47,17,0
1251,55,1284217728,31,8,0
1252,101,1284234378,1,0,0
1253,51,1284238730,2,2,0
1255,101,1284242086,1,1,0
1256,111,1284271065,3,2,0
1259,128,1284274949,14,4,0
1260,153,1284277940,1,0,0
1261,188,1284281080,22,3,0
1262,101,1284289019,0,0,0
1265,451,1284332580,110,19,0
1266,186,1284349647,12,0,0
1267,121,1284357124,10,2,0
1268,101,1284369329,7,1,0
1269,101,1284380242,1,4,0
1270,639,1284382395,83,42,0
1271,101,1284392055,1,0,0
1272,21,1284394335,1,0,0
1273,101,1284396702,33,0,0
1276,101,1284456620,0,1,0
1277,1,1284466063,1,0,0
1279,26,1284482710,19,0,0
1280,101,1284490090,1,0,0
1282,101,1284510120,0,0,0
1283,31,1284514625,7,0,0
